vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,176,176
openai,2,176,176
croviatrust,1,176,176
anthropic,1,176,176
mistralai,1,176,176
Crovia,1,176,176
timm,11,166,167
Qwen,9,166,167
nvidia,4,163,167
microsoft,3,166,167
openai-community,2,167,167
Salesforce,2,167,167
Falconsai,1,167,167
dima806,1,167,167
vikhyatk,1,167,167
cross-encoder,1,167,167
iitolstykh,1,167,167
evamxb,1,167,167
tencent,1,167,167
lucadiliello,1,167,167
cyankiwi,1,167,167
huggingface,1,167,167
google-research-datasets,1,167,167
m-a-p,1,167,167
KakologArchives,1,167,167
hf-doc-build,1,167,167
NTU-NLP-sg,1,167,167
deepmind,1,167,167
allenai,3,166,166
facebook,2,166,166
deepseek-ai,2,166,166
YiboZhang2001,2,166,166
nateraw,2,166,166
Rowan,1,166,166
aps,1,166,166
mlfoundations,1,166,166
jat-project,1,166,166
stanfordnlp,1,166,166
hkunlp,1,166,166
InternRobotics,1,166,166
Alibaba-NLP,1,166,166
distilbert,1,166,166
wecover,1,166,166
ieasybooks-org,1,166,166
IPEC-COMMUNITY,1,166,166
M-FAC,1,166,166
HuggingFaceM4,1,166,166
E-MIMIC,1,166,166
h2oai,1,166,166
Respair,1,166,166
cybersectony,1,166,166
snunlp,1,166,166
cardiffnlp,1,166,166
amunchet,1,166,166
Zyphra,1,166,166
haesungoh,1,166,166
applied-ai-018,1,166,166
qandos0,1,166,166
genrobot2025,1,166,166
qanastek,1,166,166
AquaV,1,166,166
vectara,1,166,166
mcp-course,1,166,166
madhurjindal,1,163,163
jitesh,1,163,163
rizvandwiki,1,163,163
lavita,1,163,163
