rank,target_id,silence_days,first_seen_iso,last_seen_iso
1,meta-llama/Llama-3.1-8B,225,2026-01-17T18:20:23Z,2026-04-17T00:01:11Z
2,openai/gpt-4-turbo,225,2026-01-17T18:20:23Z,2026-05-29T15:01:31Z
3,anthropic/claude-3-opus,225,2026-01-17T18:20:23Z,2026-06-01T05:01:11Z
4,mistralai/Mistral-7B-v0.3,225,2026-01-17T18:20:23Z,2026-06-01T01:00:58Z
5,Falconsai/nsfw_image_detection,216,2026-01-26T18:04:13Z,2026-04-19T06:00:37Z
6,dima806/fairface_age_image_detection,216,2026-01-26T18:04:13Z,2026-02-10T16:00:01Z
7,vikhyatk/moondream2,216,2026-01-26T18:04:13Z,2026-05-29T18:01:19Z
8,cross-encoder/ms-marco-MiniLM-L6-v2,216,2026-01-26T18:04:13Z,2026-02-11T08:00:01Z
9,openai-community/gpt2,216,2026-01-26T18:04:13Z,2026-04-18T06:00:37Z
10,Qwen/Qwen3-4B,216,2026-01-26T18:04:13Z,2026-05-31T07:01:22Z
11,openai/gpt-oss-20b,216,2026-01-26T18:04:13Z,2026-04-18T18:00:39Z
12,timm/resnet50.a1_in1k,216,2026-01-26T18:04:13Z,2026-05-29T22:00:34Z
13,iitolstykh/mivolo_v2,216,2026-01-26T18:04:13Z,2026-06-01T09:00:38Z
14,Qwen/Qwen3-8B,216,2026-01-26T18:04:13Z,2026-05-26T21:00:55Z
15,timm/efficientnet_b2.ra_in1k,216,2026-01-26T20:15:44Z,2026-02-11T06:00:02Z
16,timm/mobilenetv3_large_100.miil_in21k_ft_in1k,216,2026-01-26T20:15:44Z,2026-02-08T04:00:01Z
17,evamxb/dev-author-em-clf,216,2026-01-26T20:15:44Z,2026-04-19T10:00:10Z
18,tencent/POINTS-Reader,216,2026-01-26T20:15:44Z,2026-06-01T00:01:02Z
19,microsoft/Multilingual-MiniLM-L12-H384,216,2026-01-26T20:15:44Z,2026-05-31T21:01:24Z
20,Qwen/Qwen3-Reranker-8B,216,2026-01-26T20:15:44Z,2026-05-31T06:01:18Z
21,lucadiliello/BLEURT-20,216,2026-01-26T20:15:44Z,2026-06-01T04:00:13Z
22,cyankiwi/GLM-4.5-Air-AWQ-4bit,216,2026-01-26T20:15:44Z,2026-05-28T22:00:44Z
23,timm/tf_mobilenetv3_large_minimal_100.in1k,216,2026-01-26T20:15:44Z,2026-02-10T08:00:02Z
24,timm/vit_base_patch16_224.augreg_in21k,216,2026-01-26T20:15:44Z,2026-02-06T22:00:00Z
25,huggingface/documentation-images,216,2026-01-26T21:19:38Z,2026-05-29T01:00:53Z
26,nvidia/PhysicalAI-Robotics-GR00T-X-Embodiment-Sim,216,2026-01-26T21:19:38Z,2026-06-01T13:00:02Z
27,Salesforce/wikitext,216,2026-01-26T21:19:38Z,2026-05-31T04:00:17Z
28,Salesforce/GiftEvalPretrain,216,2026-01-26T21:19:38Z,2026-05-31T08:00:22Z
29,google-research-datasets/mbpp,216,2026-01-26T21:19:38Z,2026-05-29T17:00:24Z
30,m-a-p/FineFineWeb,216,2026-01-26T21:19:38Z,2026-06-01T05:01:31Z
31,KakologArchives/KakologArchives,216,2026-01-26T21:19:38Z,2026-06-01T11:01:25Z
32,hf-doc-build/doc-build,216,2026-01-26T21:19:38Z,2026-05-31T10:01:15Z
33,NTU-NLP-sg/xCodeEval,216,2026-01-26T21:19:38Z,2026-05-31T10:01:17Z
34,deepmind/code_contests,216,2026-01-26T21:19:38Z,2026-06-01T02:00:54Z
35,Rowan/hellaswag,215,2026-01-27T19:22:57Z,2026-05-29T19:01:36Z
36,Qwen/Qwen2.5-1.5B-Instruct,215,2026-01-27T19:22:57Z,2026-05-31T21:01:20Z
37,facebook/opt-125m,215,2026-01-27T18:04:05Z,2026-04-18T00:00:37Z
38,aps/super_glue,215,2026-01-27T18:04:05Z,2026-06-01T02:01:43Z
39,Qwen/Qwen2.5-Coder-1.5B,215,2026-01-27T18:04:05Z,2026-05-31T07:00:51Z
40,mlfoundations/dclm-baseline-1.0,215,2026-01-27T18:04:05Z,2026-05-31T18:01:33Z
41,jat-project/jat-dataset-tokenized,215,2026-01-27T18:04:05Z,2026-06-01T08:00:44Z
42,microsoft/beit-base-patch16-224-pt22k-ft22k,215,2026-01-27T18:04:05Z,2026-02-04T20:00:00Z
43,openai-community/gpt2-medium,215,2026-01-27T18:04:05Z,2026-04-18T21:01:00Z
44,stanfordnlp/imdb,215,2026-01-27T18:04:05Z,2026-05-28T22:00:30Z
45,hkunlp/instructor-large,215,2026-01-27T18:04:05Z,2026-05-29T21:00:45Z
46,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,215,2026-01-27T19:14:47Z,2026-05-31T17:00:04Z
47,InternRobotics/InternData-BridgeV2,215,2026-01-27T19:14:47Z,2026-06-01T07:00:31Z
48,Alibaba-NLP/gte-multilingual-reranker-base,215,2026-01-27T19:14:47Z,2026-05-31T17:01:36Z
49,distilbert/distilbert-base-uncased-finetuned-sst-2-english,215,2026-01-27T19:14:47Z,2026-02-10T07:00:00Z
50,wecover/OPUS_Tatoeba,215,2026-01-27T19:14:47Z,2026-05-31T16:00:02Z
51,ieasybooks-org/prophet-mosque-library,215,2026-01-27T19:14:47Z,2026-05-31T14:00:04Z
52,IPEC-COMMUNITY/droid_lerobot,215,2026-01-27T19:14:47Z,2026-05-31T13:01:41Z
53,M-FAC/bert-mini-finetuned-mnli,215,2026-01-27T19:14:47Z,2026-04-16T04:00:47Z
54,timm/maxvit_nano_rw_256.sw_in1k,215,2026-01-27T19:14:47Z,2026-02-07T02:00:01Z
55,HuggingFaceM4/FineVision,215,2026-01-27T19:14:47Z,2026-05-29T01:00:09Z
